Emoji,Embedding
:ferry:,"[-0.37831220030784607, -2.982346296310425, -0.22488562762737274, -2.1053900718688965, -1.2741979360580444, -1.2467020750045776, -0.22161811590194702, -0.8588375449180603, 0.5294491052627563, -3.244231939315796, 1.443381667137146, -2.03149151802063, -1.0351053476333618, -0.4468640387058258, -1.8086796998977661, 3.1324374675750732, -0.7404738068580627, 1.5218291282653809, 0.775409460067749, 0.08816710859537125, 1.3957257270812988, 0.17533382773399353, -0.38652703166007996, -0.05647271126508713, -0.6743775606155396, 1.1199028491973877, -0.05180554836988449, 0.2926627993583679, 0.7864592671394348, -0.684015691280365, -1.331889033317566, 1.2116284370422363, 1.0305771827697754, -0.3635115325450897, 0.7356807589530945, -2.1529369354248047, -0.5958788990974426, 0.6495085954666138, 1.819421648979187, 1.746389627456665, 0.3609178960323334, 1.9228774309158325, 0.8635758757591248, -2.195330858230591, -0.20352527499198914, -0.7236074805259705, 1.3509732484817505, -0.291089802980423, 0.34486693143844604, 0.5204735398292542]"
:ice_skate:,"[-1.1313533782958984, 2.4209976196289062, 0.09776252508163452, 0.5698232054710388, -0.24919137358665466, -1.0595824718475342, 0.8134276270866394, -0.05513119325041771, -0.8680770397186279, 0.6553152799606323, -0.1032780185341835, 0.41388922929763794, 1.3848626613616943, -1.6567126512527466, -0.3409311771392822, -0.06931249052286148, -0.258566677570343, -0.27067455649375916, 0.9059571623802185, -1.248844861984253, -1.5593317747116089, 0.5564462542533875, 2.605478286743164, -0.3140430748462677, -0.19412705302238464, 1.8434160947799683, 1.6869686841964722, 0.67798912525177, -1.160103440284729, -1.023479700088501, 1.7399039268493652, 1.663652777671814, 0.29099783301353455, -0.31595876812934875, -0.5194876194000244, 0.49572476744651794, -0.3392157554626465, -0.3121449649333954, 0.6341497302055359, -0.43619126081466675, 1.0107879638671875, -1.2459912300109863, -0.19377492368221283, -0.7307235598564148, 0.8391977548599243, -0.5061572790145874, 0.2747066915035248, -1.5603833198547363, -2.038010597229004, -1.6119184494018555]"
:takeout_box:,"[0.4946918189525604, 0.19211791455745697, 0.889689028263092, 1.1757608652114868, -0.1816561222076416, -0.25142642855644226, 0.6607708930969238, 0.7503252625465393, 0.33624622225761414, 0.5555611252784729, 0.002584052737802267, -1.3162282705307007, 1.0069043636322021, -0.5263162851333618, -0.10562511533498764, -1.6592366695404053, -1.606602430343628, -0.30368101596832275, -0.40618085861206055, 1.3798868656158447, 2.213106870651245, 1.2417359352111816, -0.863435685634613, -0.23302407562732697, -0.5180636048316956, 0.05435787886381149, -1.9089136123657227, -0.11961335688829422, 1.1822208166122437, -1.7223607301712036, 1.022574782371521, 1.6285194158554077, 0.22554318606853485, -0.8043381571769714, 0.7192361950874329, -0.2751341760158539, -0.35557815432548523, 0.16499291360378265, 0.7810897827148438, 0.04595388472080231, 1.4356976747512817, 0.19278109073638916, 0.7833459973335266, 0.3943308889865875, 0.1154622733592987, -1.0741606950759888, 1.5986374616622925, 0.6669552326202393, -1.200867772102356, -0.47272932529449463]"
:ping_pong:,"[0.8011904358863831, -0.6662816405296326, 0.26885098218917847, 0.25646230578422546, -0.10881422460079193, -0.04783357307314873, -0.8276670575141907, -1.4777723550796509, 0.0030643322970718145, -0.5289256572723389, 0.07799554616212845, 0.09963720291852951, 0.5874073505401611, -2.1671483516693115, 0.13895505666732788, -1.246695876121521, -1.7236117124557495, -1.5055235624313354, 2.3778226375579834, -0.5459598898887634, 1.4827080965042114, 0.3290717601776123, -1.4809151887893677, -0.6925007700920105, -1.2216079235076904, 1.1724942922592163, -1.2889126539230347, 1.4703468084335327, -0.6439005136489868, -0.6469890475273132, 0.2023930698633194, 0.6322411298751831, -0.37104281783103943, -0.8935020565986633, -0.9669724106788635, -0.10696366429328918, -0.7369408011436462, -0.4264105558395386, -1.4688315391540527, -0.04006197303533554, -0.574065089225769, 0.17322586476802826, -0.5676447749137878, 0.5171362161636353, -0.5084811449050903, 1.2292901277542114, -0.12286350876092911, 0.15786243975162506, 0.3607638478279114, -1.873166561126709]"
:wilted_flower:,"[-1.1883769035339355, 0.3731459975242615, 0.440455824136734, -0.5040985345840454, -1.9393497705459595, 2.084232807159424, -0.44068440794944763, 1.5627214908599854, 1.184214472770691, 0.43794748187065125, 0.3166470527648926, -0.7060413360595703, -0.4244474470615387, -1.168764352798462, 0.016471173614263535, -2.0417280197143555, 0.7729316353797913, -1.4284130334854126, 0.7605795860290527, -0.16720201075077057, -1.4033159017562866, -1.5404465198516846, 0.9786118865013123, -1.988045573234558, 1.0178896188735962, -1.7294723987579346, -0.1304836869239807, -0.8414968252182007, 0.7569445371627808, 1.685410499572754, -1.4688897132873535, -0.12467548996210098, -0.1927991807460785, 0.1402876079082489, -0.6205123662948608, 0.43163415789604187, 0.08719122409820557, -2.5990889072418213, 1.9471073150634766, -1.724593162536621, -0.8113242387771606, -1.2662721872329712, -1.188515067100525, -0.0023711195681244135, -2.174915075302124, -1.7817131280899048, -0.7347615957260132, -0.3186207711696625, 1.1599794626235962, -1.4067459106445312]"
:motorcycle:,"[-0.1885119080543518, -1.4685585498809814, -1.2083451747894287, 1.5390963554382324, 2.275541067123413, 0.5298907160758972, -0.23192933201789856, -0.35066282749176025, 1.7760123014450073, 0.35604751110076904, 1.0694541931152344, 0.033899370580911636, -0.5158752799034119, -0.265544593334198, 0.6394137740135193, -0.09640096873044968, 0.6448206901550293, 1.5681530237197876, -0.8398709893226624, -0.330145001411438, 0.2723802924156189, -0.7895766496658325, -0.7832849025726318, -0.7906072735786438, 0.36561349034309387, -0.1951693594455719, -0.32075804471969604, -0.9461005926132202, -0.5051096677780151, 0.13111324608325958, -0.7477626204490662, 2.5985629558563232, 0.3283681869506836, -1.2922333478927612, 0.9807227253913879, -0.35571837425231934, -0.6845807433128357, 0.5025504231452942, 1.6388434171676636, -0.4303533136844635, -0.620920717716217, 1.717917561531067, 1.0616185665130615, -0.9423555135726929, -2.0571625232696533, -0.3230833411216736, 0.04968778416514397, -0.6291651129722595, 0.9874510169029236, -1.0912306308746338]"
:eject_button:,"[0.9772446155548096, -0.3640044033527374, -0.21187597513198853, -0.44051986932754517, 0.6455449461936951, -1.105602502822876, -0.5500723123550415, 2.839381456375122, -0.3033822774887085, -0.5815671682357788, 0.6019627451896667, -0.7586071491241455, -1.1832501888275146, 1.1159236431121826, 0.583556592464447, 1.1481424570083618, -1.1487172842025757, 0.37384554743766785, -1.1253019571304321, -0.5629531145095825, -0.47871723771095276, 1.1844596862792969, 2.1770005226135254, 1.5962765216827393, -1.1939400434494019, 1.60014009475708, 0.38031435012817383, 1.29812753200531, -0.49151912331581116, 0.10967110097408295, -1.8589510917663574, 1.0846772193908691, 0.8459757566452026, 0.8565562963485718, 1.2258341312408447, 1.3940660953521729, 0.6593354344367981, 1.0878597497940063, -0.6985498070716858, -0.7125656604766846, -0.8435975313186646, -0.14054453372955322, 0.711151123046875, -0.6189123392105103, 0.02284909598529339, -0.5213307738304138, -1.7429436445236206, -0.5802228450775146, 1.1867262125015259, -1.3760643005371094]"
:camping:,"[-1.1803441047668457, 2.952307939529419, -0.1675189733505249, -1.035313367843628, 1.8418478965759277, -1.171830415725708, 1.6138145923614502, 2.381028652191162, -0.6439764499664307, -0.8157413005828857, 0.1734592318534851, -1.2865965366363525, -0.5489621162414551, -0.6022442579269409, -0.9394840598106384, -0.5160390734672546, -2.5277655124664307, -0.12523674964904785, -1.5175373554229736, 1.1525593996047974, 1.7644586563110352, -1.297916054725647, 1.0367735624313354, -1.562671422958374, -0.6357126832008362, 1.3345698118209839, -1.0684804916381836, 0.38003769516944885, -1.2338645458221436, 0.9863958954811096, 0.26329460740089417, 0.446524977684021, 2.4895825386047363, 1.7355332374572754, 1.6142828464508057, -1.6122379302978516, -0.7842679619789124, -1.6694574356079102, -0.12731102108955383, 0.12200617045164108, 0.0635693147778511, -0.66926509141922, 1.6805503368377686, 0.02397061698138714, 0.3256055414676666, 1.223240852355957, 1.041097640991211, 0.5388501882553101, 0.7871794700622559, -1.7012923955917358]"
:shinto_shrine:,"[-0.11951828747987747, -3.056312084197998, -0.38900598883628845, -0.13260696828365326, 0.751264214515686, -0.12025947868824005, 1.6698869466781616, 0.7223813533782959, 0.7211446762084961, 1.0600441694259644, 2.2550113201141357, 0.8408804535865784, -0.009850958362221718, 1.482780933380127, 0.7468581199645996, 1.814026951789856, -0.5749396681785583, -0.48582300543785095, 1.130993127822876, 0.12776106595993042, 1.0201655626296997, -0.480960875749588, -0.3652796149253845, -0.5663152933120728, -0.7664679884910583, 0.7014799118041992, 0.2946756184101105, 0.05405213683843613, -0.1182187870144844, -1.2387624979019165, 0.16574716567993164, -0.7291903495788574, 1.7301695346832275, -1.086082100868225, 0.6389722228050232, 0.003884203964844346, -1.8261890411376953, 0.5441812872886658, -3.626716375350952, 0.407083660364151, 0.9035726189613342, -0.25323572754859924, 0.6205996870994568, 0.8801336288452148, 0.2839082181453705, 0.2252335548400879, -0.8587132096290588, -0.75455242395401, -2.137860059738159, 0.2126075178384781]"
:shark:,"[-0.796560525894165, -0.3546334505081177, -0.39017459750175476, 0.7610170245170593, -1.6722171306610107, 0.34830242395401, -0.18448682129383087, -0.5768529176712036, 1.7295953035354614, -0.06778212636709213, -0.9297720193862915, 0.4381958842277527, 0.30327528715133667, 1.7110179662704468, 0.4719236493110657, 0.006317001301795244, 0.18746758997440338, -1.4375240802764893, -1.0611399412155151, -0.27250343561172485, 1.2077795267105103, -0.05632362142205238, 0.28539928793907166, 0.5748283863067627, -1.0397521257400513, 0.05449780821800232, -1.4843120574951172, -0.01836581341922283, 0.6962862610816956, -2.1139168739318848, -0.9857689142227173, 0.9595261812210083, -0.42967990040779114, -1.6971784830093384, -0.14197896420955658, 2.1561057567596436, -1.2731664180755615, 0.36444732546806335, -0.5917088985443115, 0.7996545433998108, -0.039609383791685104, -0.018705420196056366, 1.2481882572174072, -0.26586198806762695, -0.29325464367866516, 0.14838412404060364, 1.605657696723938, -0.8399364948272705, 0.6692447662353516, -0.6597676873207092]"
