Emoji,Embedding
:ferry:,"[0.3171611428260803, -0.18457794189453125, 0.6014381051063538, 0.31569352746009827, -0.34291163086891174, -0.25884175300598145, 0.019178219139575958, 0.25440046191215515, -0.031800128519535065, -0.23301634192466736, 0.0707542821764946, 0.322917103767395, -0.12476996332406998, -0.1152774840593338, -0.3880820870399475, 0.16719047725200653, 0.05800027772784233, 0.17577476799488068, -0.15224088728427887, 0.1273742914199829, 0.03805996850132942, 0.2076992392539978, 0.1364554911851883, -0.022406715899705887, 0.08974872529506683, -0.21472659707069397, 0.2839372158050537, -0.13568289577960968, -0.22067229449748993, 0.3076058328151703, -0.3818436861038208, 0.1100962683558464, 0.11792143434286118, 0.16099393367767334, 0.016809958964586258, -0.43623363971710205, -0.3508836030960083, 0.0885201022028923, 0.17223145067691803, 0.58362877368927, 0.31925052404403687, -0.10543698817491531, 0.3811142146587372, -0.4397937059402466, -0.1457757204771042, -0.06915879994630814, -0.07111278921365738, -0.2707729637622833, 0.10699361562728882, -0.0038836065214127302]"
:ice_skate:,"[-0.03303125873208046, 0.14301207661628723, -0.1926860809326172, 0.16279225051403046, -0.36785024404525757, 0.03877251222729683, 0.08789955824613571, -0.0675334557890892, -0.0957123339176178, -0.16957080364227295, 0.23216935992240906, -0.19794784486293793, 0.07665184885263443, 0.00720742205157876, 0.07571815699338913, -0.1289883255958557, -0.011239423416554928, -0.06267894059419632, -0.13490094244480133, -0.2624821662902832, 0.033877186477184296, 0.12638793885707855, 0.44247379899024963, -0.011984421871602535, -0.05792937055230141, 0.20442521572113037, -0.33039578795433044, -0.11916075646877289, -0.07366902381181717, -0.7216967344284058, -0.1051575094461441, 0.2705012261867523, -0.12230123579502106, 0.09150968492031097, -0.018700605258345604, 0.09529372304677963, -0.26914429664611816, 0.12565064430236816, 0.08690791577100754, -0.04395541921257973, -0.1240733414888382, -0.03779936209321022, 0.19363610446453094, 0.15945476293563843, -0.0829947218298912, -0.14184331893920898, 0.1245180144906044, -0.2914002239704132, -0.25733646750450134, -0.33404070138931274]"
:takeout_box:,"[-0.14983414113521576, -0.2322198748588562, 0.06724227219820023, 0.12594202160835266, 0.13565979897975922, 0.07207988947629929, 0.23068180680274963, 0.14084497094154358, -0.02487361803650856, -0.2316768914461136, 0.18545755743980408, -0.31780120730400085, -0.12204908579587936, 0.03294657543301582, -0.06150374189019203, -0.4802730679512024, -0.277212917804718, 0.04096633940935135, -0.11670220643281937, 0.1139291375875473, 0.17274142801761627, 0.03964979574084282, -0.17141716182231903, -0.012625234201550484, 0.2105548083782196, 0.101961649954319, 0.24525395035743713, -0.3925204873085022, -0.08261627703905106, -0.05075963959097862, -0.2436242550611496, 0.035501882433891296, -0.20793233811855316, -0.013785962015390396, 0.15159210562705994, -0.09764204919338226, -0.0967530682682991, 0.15706196427345276, -0.024202527478337288, 0.10740698873996735, -0.03992566093802452, -0.04472456872463226, 0.083577960729599, -0.2014244943857193, 0.016375452280044556, -0.11960575729608536, 0.05686534196138382, -0.2596561014652252, 0.31206315755844116, 0.14368954300880432]"
:ping_pong:,"[0.009369805455207825, 0.13989056646823883, -0.15612570941448212, 0.40394917130470276, -0.16513384878635406, -0.258714497089386, 0.23248796164989471, -0.10235722362995148, -0.12961620092391968, -0.15619024634361267, -0.13899214565753937, -0.10754680633544922, -0.135467991232872, -0.2907959818840027, -0.08904595673084259, -0.164535790681839, 0.18435196578502655, -0.047074925154447556, 0.3154953718185425, 0.18542563915252686, -0.019958065822720528, 0.07770032435655594, -0.32830938696861267, 0.17341050505638123, 0.13610194623470306, 0.13537843525409698, 0.14417795836925507, -0.28387218713760376, -0.23759758472442627, -0.0660749226808548, -0.027880853042006493, 0.15042896568775177, -0.06848382204771042, -0.13296180963516235, -0.004930547438561916, -0.025807484984397888, -0.18230091035366058, 0.3380085825920105, -0.09978125244379044, -0.02863684855401516, 0.17967721819877625, -0.0815008208155632, 0.2657201588153839, 0.19402293860912323, 0.08908472955226898, -0.008227098733186722, -0.009034943766891956, 0.3167559802532196, 0.1379094272851944, -0.026887789368629456]"
:wilted_flower:,"[0.22480528056621552, 0.1517210304737091, 0.18797539174556732, -0.1905035823583603, 0.28361836075782776, 0.3032168447971344, -0.03953395411372185, 0.18164241313934326, -0.0625104084610939, 0.03281912952661514, 0.28593987226486206, 0.1491309404373169, 0.5030315518379211, 0.01578027568757534, 0.15469597280025482, -0.09316529333591461, 0.2442988008260727, -0.14978592097759247, 0.03602893278002739, 0.1868152767419815, -0.7266099452972412, -0.32914865016937256, 0.32601597905158997, -0.5504868030548096, -0.30202528834342957, 0.20062698423862457, -0.06131092086434364, -0.17793108522891998, -0.035821884870529175, 0.059843458235263824, -0.49220654368400574, -0.13600383698940277, 0.11658834666013718, 0.3280170261859894, 0.41693684458732605, 0.2598358690738678, 0.2382645159959793, -0.04357781261205673, 0.06982561200857162, 0.24866506457328796, -0.568963885307312, -0.11010009795427322, -0.03899066522717476, -0.48425671458244324, 0.20375703275203705, -0.05575690045952797, -0.3629814088344574, -0.19686615467071533, 0.391552597284317, -0.45941728353500366]"
:motorcycle:,"[0.24166865646839142, -0.4092683792114258, 0.14626780152320862, 0.1155121698975563, 0.24397386610507965, 0.18648593127727509, 0.0624411478638649, -0.24925372004508972, 0.2673979699611664, -0.20509172976016998, 0.14148345589637756, -0.20817551016807556, -0.29826727509498596, -0.11769455671310425, -0.20508047938346863, -0.1673555225133896, -0.05302664637565613, 0.25427085161209106, -0.17324137687683105, 0.1507256180047989, 0.187875434756279, 0.05480298399925232, -0.5090147256851196, 0.12404531240463257, 0.01678532361984253, 0.3077559769153595, 0.062329526990652084, -0.31100478768348694, 0.015859464183449745, 0.19601570069789886, -0.13787449896335602, 0.0705728754401207, 0.10340806096792221, 0.023631945252418518, 0.019895780831575394, 0.1678556650876999, 0.17286400496959686, -0.02964366413652897, 0.06432531028985977, 0.3759559094905853, -0.38138526678085327, 0.38595250248908997, 0.46273377537727356, -0.24209752678871155, 0.016826221719384193, -0.13680273294448853, -0.024421585723757744, -0.42525583505630493, 0.332510769367218, -0.35098960995674133]"
:eject_button:,"[-0.3010134994983673, -0.483405739068985, -0.02581063099205494, -0.10363482683897018, 0.11843547224998474, -0.2479194849729538, 0.024076785892248154, 0.13166168332099915, -0.2845466434955597, -0.3061922490596771, 0.3997794985771179, 0.04473135247826576, -0.07156819850206375, 0.07111955434083939, -0.10016651451587677, -0.0006359827821142972, -0.1387520283460617, -0.011974160559475422, -0.33819738030433655, -0.0824880301952362, -0.08410761505365372, -0.06236467510461807, 0.12646885216236115, 0.0769963189959526, -0.030456218868494034, 0.4595681130886078, -0.031669508665800095, 0.08382786065340042, -0.07891186326742172, 0.14225517213344574, -0.3325794041156769, -0.3374117314815521, -0.30272066593170166, -0.040265824645757675, 0.22260713577270508, -0.038947951048612595, 0.17562787234783173, -0.17656828463077545, -0.33128732442855835, 0.005820034071803093, -0.1411161571741104, -0.3163178265094757, 0.05585094541311264, 0.35122746229171753, 0.07537942379713058, 0.009036440402269363, -0.2662152051925659, -0.047434430569410324, -0.21218504011631012, -0.40793296694755554]"
:camping:,"[0.33223429322242737, 0.3704898953437805, -0.07284156233072281, 0.49275681376457214, -0.09342785179615021, -0.5485420823097229, -0.13772833347320557, 0.1946803629398346, 0.6717728972434998, -0.049019891768693924, -0.41654056310653687, -0.12658460438251495, 0.14715158939361572, 0.06274999678134918, 0.006165253929793835, -0.12445202469825745, 0.025490857660770416, 0.21343167126178741, 0.0842280313372612, 0.47888222336769104, 0.021710064262151718, -0.3149145245552063, 0.13924288749694824, -0.1104222908616066, -0.23521225154399872, 0.5575712323188782, 0.1907520592212677, 0.012034519575536251, 0.09402941912412643, 0.7136531472206116, -0.211015984416008, -0.28701838850975037, -0.2948335111141205, -0.022522229701280594, 0.4295094609260559, 0.4027564227581024, -0.04520692676305771, -0.21340373158454895, -0.26459696888923645, -0.06445957720279694, 0.21363042294979095, -0.4475143253803253, 0.039660338312387466, 0.37857916951179504, -0.2706170976161957, -0.05075695738196373, 0.04306942969560623, -0.20834940671920776, -0.24569377303123474, -0.7984312176704407]"
:shinto_shrine:,"[0.29886487126350403, -0.7266812920570374, 0.14097361266613007, 0.3089621663093567, -0.09861675649881363, 0.3132651150226593, 0.15802471339702606, -0.46775364875793457, -0.566697895526886, 0.14292234182357788, 0.6009308695793152, 0.6428514719009399, -0.3714548349380493, -0.003368453588336706, -0.10261882841587067, 0.03709839656949043, 0.2927851378917694, -0.3180408775806427, -0.17554426193237305, -0.09548255801200867, 0.49198004603385925, -0.36584699153900146, 0.34390443563461304, 0.04424133524298668, 0.032065801322460175, -0.0033553880639374256, -0.3213997781276703, -0.08552519977092743, 0.03847241401672363, 0.021913275122642517, -0.2098953127861023, 0.03781350329518318, 0.2659301161766052, -0.4740716218948364, -0.022848978638648987, 0.06304679811000824, -0.6545746326446533, -0.1643541306257248, -0.5224019885063171, 0.0738338828086853, -0.45561471581459045, -0.25724658370018005, 0.13197116553783417, 0.5420388579368591, -0.07833026349544525, -0.2882658839225769, -0.5003407001495361, 0.011544940061867237, -0.10147839784622192, -0.36924031376838684]"
:shark:,"[0.27065086364746094, -0.2078312784433365, -0.21051743626594543, -0.1963222175836563, -0.2784532308578491, -0.1412065625190735, 0.17890821397304535, -0.25538402795791626, 0.2705513536930084, -0.05117218941450119, 0.07467538118362427, 0.21682609617710114, 0.23094883561134338, 0.12363976985216141, -0.16490419209003448, -0.11583485454320908, 0.1404092013835907, -0.29409459233283997, -0.3265080153942108, 0.22839277982711792, -0.14552100002765656, -0.12338210642337799, -0.024785364046692848, -0.31934642791748047, -0.07897776365280151, 0.18560360372066498, 0.09698258340358734, -0.022142359986901283, -0.20092712342739105, -0.045615315437316895, -0.5121964812278748, 0.06184566393494606, 0.3825033903121948, -0.03832501918077469, -0.29540255665779114, 0.1322164535522461, 0.077280692756176, -0.004925859626382589, 0.13808421790599823, -0.05934373661875725, -0.2252342849969864, -0.4044138491153717, 0.02379061095416546, 0.0872185081243515, 0.07104713469743729, -0.1906561255455017, 0.17419444024562836, 0.05298454314470291, 0.04049747437238693, 0.02772444300353527]"
