Emoji,Embedding
:card_index_dividers:,"[0.9020033478736877, 0.8947813510894775, -0.10310569405555725, 0.03922771289944649, -0.977785587310791, -0.3312108814716339, -0.20866145193576813, 0.6141826510429382, 0.521363377571106, -0.7351406812667847, -0.5880369544029236, 0.5402251482009888, 0.9586704969406128, 0.22377441823482513, -0.22237759828567505, 0.6587828397750854, 0.9485090970993042, -0.20132194459438324, -0.8378646969795227, 0.5486746430397034, 0.6439024806022644, -0.5979639887809753, 0.9616025686264038, 0.2599292993545532, 0.6884945034980774, 0.4130655527114868, -0.7055462002754211, 0.2933613955974579, 0.14874538779258728, -0.5779335498809814, -0.4039892554283142, -0.790891170501709, 0.3319791257381439, -0.4115696847438812, 0.3113183379173279, 0.5103089809417725, -0.8890563249588013, 1.0262067317962646, -0.6228778958320618, -0.10004772990942001, -0.2053993195295334, 0.4518097937107086, 0.16935564577579498, 0.679228663444519, 0.149746373295784, -0.21579432487487793, 0.01830693706870079, 0.39776182174682617, 0.9359644651412964, -1.0018649101257324]"
:keycap_*:,"[-0.7538005113601685, 0.6131561994552612, 0.7655107975006104, 0.1020289957523346, 0.5158644914627075, 0.9909414052963257, -0.32414355874061584, 0.30196237564086914, -0.6504172682762146, 0.5155182480812073, -0.32439929246902466, -0.2416234314441681, -0.7598312497138977, 0.7358442544937134, 0.6805962324142456, -0.017000025138258934, -0.5149240493774414, -0.05812355503439903, 0.2810094654560089, -1.0898463726043701, 0.5547274947166443, -0.5803230404853821, -0.02734549529850483, -0.09509032219648361, -0.2436342090368271, 0.2497120052576065, -0.010828599333763123, -0.09147556126117706, -0.8081745505332947, 0.2364329844713211, -0.7565383911132812, -0.21061427891254425, 0.2807607650756836, 0.9091671705245972, 0.3203079402446747, 0.09589499235153198, 0.2813900113105774, -0.7402247786521912, -0.7773705720901489, -0.5672645568847656, 0.28642356395721436, -0.14498165249824524, -0.8978337049484253, 0.7381395101547241, 0.23417288064956665, 0.040452249348163605, 0.4278304874897003, 0.07664775103330612, -0.17970578372478485, -0.35885894298553467]"
:vulcan_salute_medium-dark_skin_tone:,"[0.06617821753025055, -0.5320040583610535, 0.3666132390499115, -0.8821246027946472, -0.6619319319725037, -0.7028535008430481, -0.4863658547401428, -0.3168708384037018, -0.6207519173622131, -0.28448188304901123, 0.005514869000762701, -0.7242266535758972, 0.2857014238834381, -0.022993288934230804, -0.6306370496749878, 0.7656623721122742, 0.3395475149154663, -0.9000898599624634, -0.8384951949119568, -0.813941478729248, 0.45221856236457825, -0.21885256469249725, 0.03949255123734474, -0.8989567756652832, -0.5432683825492859, 0.32350170612335205, 1.0058728456497192, 0.26280489563941956, 0.3847595453262329, 0.47947365045547485, -0.6961519718170166, 0.9128221273422241, -0.22574570775032043, 0.48998764157295227, 0.09086808562278748, -0.7093807458877563, 0.9088769555091858, -0.37068164348602295, 0.8808456063270569, -0.6067013740539551, -0.1347588151693344, 0.29719921946525574, 0.2303536832332611, 0.031971078366041183, -0.7521204352378845, 0.8091074824333191, -0.049847397953271866, -0.5414724349975586, 0.05723756551742554, 0.5608521103858948]"
:stop_button:,"[-0.26032987236976624, -1.054997444152832, 0.5264025330543518, 0.05466562509536743, 0.24841468036174774, 0.479118287563324, 0.3838247060775757, -0.0878424271941185, 0.8003675937652588, -0.8190306425094604, -0.6146024465560913, 0.8874671459197998, 0.08107972890138626, -0.36825284361839294, 0.5131205320358276, -0.7399247884750366, 0.41794437170028687, -0.1131238043308258, 0.11543276160955429, 0.7811009883880615, 1.3280197381973267, -0.9355404376983643, -0.02657139301300049, -0.037555743008852005, 0.7219533920288086, 0.13914136588573456, 0.4501311480998993, 0.6704398393630981, -1.057211995124817, 0.3154163062572479, -0.7146067023277283, 0.7600066065788269, -0.21364517509937286, -0.2153768092393875, 0.26754826307296753, -0.21644960343837738, -0.0742499828338623, 0.9795830845832825, 0.1554717868566513, 1.019256353378296, -0.33193159103393555, -0.689136266708374, -0.3137570023536682, -1.3781856298446655, -0.22945435345172882, 0.7072939276695251, -0.8620994091033936, -0.25380533933639526, 0.406922847032547, 0.20226125419139862]"
:record_button:,"[-0.15296834707260132, -1.0759254693984985, -0.6640793681144714, -0.9269903302192688, 0.4942041039466858, 0.4650281071662903, 0.7794015407562256, -0.4617553949356079, -0.62617427110672, 0.45233115553855896, 0.1451168805360794, 1.0151867866516113, 0.5397585034370422, 0.8974887728691101, -0.8260298371315002, 0.6842079162597656, -0.06904096901416779, 0.12871535122394562, 0.7984837889671326, 1.074191927909851, 1.2190146446228027, -0.8963665962219238, -0.4232359826564789, 0.9947612881660461, 0.2032678723335266, -0.37361055612564087, -0.7282527685165405, -0.4719317555427551, 0.01390852127224207, 0.5216672420501709, -0.5674258470535278, 0.04649302735924721, 0.11200525611639023, 0.5272045731544495, -0.653235137462616, 1.2449337244033813, -0.04145891219377518, -0.6576003432273865, 1.2749459743499756, -0.5644327998161316, -1.107038140296936, -0.2677140533924103, 0.11585598438978195, -1.06759774684906, 0.8776456713676453, 1.1545790433883667, -0.5391415953636169, -1.1115840673446655, -0.7670437097549438, 0.6805954575538635]"
:film_projector:,"[0.8619799613952637, -1.2646986246109009, -0.15939441323280334, -1.2786095142364502, 0.9118474721908569, -0.712602972984314, -0.8727824687957764, -1.632190227508545, 0.7830269932746887, -1.067054271697998, -1.2629519701004028, 0.3043316602706909, 0.589587390422821, 0.829522430896759, 0.3654322028160095, -1.105979323387146, 0.23960429430007935, -0.8115243911743164, -0.6980725526809692, -0.9747255444526672, -0.7827776670455933, 1.068547248840332, -0.7095963358879089, 0.08837099373340607, -0.2595680058002472, 0.12683357298374176, -0.18354400992393494, -0.07078486680984497, 0.4403456151485443, -0.6322069764137268, -0.8132094144821167, 1.1959137916564941, 1.0582789182662964, -0.0398280993103981, 0.5538714528083801, -0.19667628407478333, 0.20073537528514862, 1.3386939764022827, 0.5955002903938293, -0.18351899087429047, 0.3996432423591614, 1.2484028339385986, 0.627781331539154, 0.3099704682826996, 0.5148224234580994, 0.9460352659225464, -0.05655447021126747, -0.41616177558898926, 0.15463176369667053, -0.46702730655670166]"
:orthodox_cross:,"[-0.5709831714630127, 0.9624599814414978, 0.7596060037612915, 1.0154342651367188, -0.5221171379089355, 0.5005055069923401, -0.7494819164276123, 0.6402861475944519, 0.13676106929779053, -0.23950612545013428, 0.7794412970542908, -0.26584941148757935, 0.9436649680137634, -0.5341466069221497, -0.5760979652404785, 0.9209853410720825, 0.8113412261009216, 0.6925948262214661, 0.393682062625885, 0.6948181986808777, -0.1385832130908966, 0.22419768571853638, 0.032308440655469894, 0.02847294695675373, -0.7619147300720215, -0.5026735663414001, 0.21187028288841248, -0.8785588145256042, -0.3526264727115631, 0.45064613223075867, 1.1192147731781006, 0.2640814483165741, 0.8744294047355652, -0.4980137050151825, 0.6036158204078674, -0.23134391009807587, 1.0009384155273438, 1.0168215036392212, -1.0355521440505981, 0.9843764305114746, -0.7619056701660156, -0.3369370400905609, 0.7391056418418884, -0.5574887990951538, 0.3388676643371582, 0.10178348422050476, 0.09017864614725113, -0.35846641659736633, 0.14962619543075562, -0.13163967430591583]"
:spider:,"[0.8020824193954468, -0.6012783646583557, 0.38124194741249084, 0.567949652671814, -0.7588909268379211, -0.2876335382461548, 0.6205552220344543, 0.2406190186738968, 0.8487614989280701, -0.09536194056272507, 0.27287527918815613, 0.962760865688324, -0.5460427403450012, 0.08569025993347168, -0.636274516582489, 0.6804409027099609, 0.64323490858078, -0.08210676908493042, -0.2465631067752838, -0.5914448499679565, 0.18203482031822205, -0.2732360064983368, 0.8394306898117065, 1.0667381286621094, -0.05313042551279068, 0.16739705204963684, -0.6361322999000549, 0.047862350940704346, -0.3975951075553894, -0.6823770999908447, -0.7686719298362732, 0.44645315408706665, 0.03077218495309353, 0.29003989696502686, -0.565870463848114, 0.3813982605934143, 0.8916402459144592, 0.6819833517074585, 0.9414568543434143, 0.6866110563278198, -0.3427027761936188, -0.10288411378860474, 0.06344711035490036, -0.23546993732452393, 0.04550955072045326, -0.45486560463905334, 0.5007765293121338, 0.0955352932214737, 0.5143797397613525, -0.8508187532424927]"
:passenger_ship:,"[-0.40401431918144226, 0.45378202199935913, 0.335745632648468, 0.26196178793907166, 0.7327733635902405, -0.7699050903320312, -0.16891434788703918, -0.15513533353805542, 0.474602073431015, -0.47283127903938293, 0.21739213168621063, -0.3539098799228668, -0.5110213160514832, -1.1437028646469116, 0.39807966351509094, -0.38813909888267517, -0.2699345052242279, -0.680928111076355, 1.0112278461456299, -0.7459093928337097, -0.355591356754303, -0.29678744077682495, -0.12467554956674576, 0.19274653494358063, -0.9556468725204468, 0.308842271566391, 0.3664133548736572, 1.0902189016342163, -0.45121052861213684, 0.908186137676239, 0.7702251672744751, 0.7136592864990234, 0.19303345680236816, -0.8836974501609802, -0.2826691269874573, 0.04987652227282524, 0.8408045172691345, 1.1276413202285767, -0.7745633721351624, 0.541424572467804, 0.687207043170929, 0.41675910353660583, 1.0668386220932007, 0.4647148847579956, -0.17922207713127136, -0.4030594825744629, 0.662168025970459, 0.9368622303009033, -0.7164961695671082, -0.6812906861305237]"
:scorpion:,"[0.431414395570755, 0.47022128105163574, -0.3506062924861908, 0.8231714367866516, 0.275545209646225, -0.8541847467422485, -0.9793527722358704, 0.6359851956367493, 0.7944009304046631, 0.5989508032798767, 0.2853268086910248, 0.05150016397237778, 0.6577185988426208, -0.6562329530715942, 0.40951305627822876, -0.9501766562461853, 0.4888728857040405, -0.3851296305656433, -0.031066184863448143, -0.022495992481708527, 0.4520586431026459, 1.0186570882797241, 0.5828351378440857, -0.01053541712462902, 0.5734233856201172, 0.7638441324234009, 0.9466971158981323, -0.6899816989898682, -0.9569682478904724, -0.66535484790802, 0.0901029035449028, -0.28336483240127563, -0.5434884428977966, -0.29445046186447144, 0.85884690284729, 0.38113030791282654, -0.8572139143943787, -0.08528180420398712, 0.36342310905456543, -0.06502724438905716, 0.6522796750068665, -0.04633275046944618, 0.9768944978713989, 0.8762128353118896, -0.6371398568153381, 0.45392361283302307, 0.6469267010688782, 0.014527708292007446, 0.2865408957004547, -0.2734758257865906]"
