Emoji,Embedding
:keycap_*:,"[0.4902462065219879, -0.7987477779388428, -0.7534942626953125, 0.37608063220977783, -0.6033353209495544, 0.5457631349563599, 0.054303038865327835, 0.3795328140258789, 0.8733998537063599, 0.9798253774642944, -0.1490945965051651, 0.48395079374313354, 0.7423360347747803, 0.5513689517974854, -0.6735989451408386, -0.9589645862579346, -0.3951866626739502, 0.05166663974523544, -0.1548624336719513, 0.2857430577278137, 0.8316545486450195, -0.218369260430336, 0.7721822261810303, 0.27951502799987793, 0.2242090106010437, 0.3926718533039093, -0.13927006721496582, -0.3472153842449188, 0.5374062061309814, 0.7252694368362427, 0.4588167369365692, 0.4360555112361908, -0.16031965613365173, 0.4995638430118561, 0.27085742354393005, -0.4485788345336914, -0.8882638812065125, 0.6039703488349915, -0.6507058143615723, 0.218422532081604, 0.22618435323238373, 0.6364637613296509, -0.23558057844638824, -0.29541218280792236, -0.5227979421615601, -0.15465238690376282, 0.9683163166046143, 0.3169897794723511, -0.7630084753036499, -0.6472051739692688]"
:man_biking:,"[-0.6775104999542236, -0.818012535572052, 0.11161373555660248, -0.4094637930393219, -0.86121666431427, 0.059729237109422684, 0.12924860417842865, 0.6194457411766052, 0.64471435546875, 0.9589730501174927, 0.6980360746383667, -0.8925540447235107, -0.41944220662117004, 0.8579270839691162, -0.2916257381439209, 0.1546584516763687, 0.09149640798568726, 0.26648321747779846, 0.26743167638778687, -0.9996592402458191, -0.92290198802948, 0.1268714815378189, -0.319690078496933, -0.4094638526439667, 0.4960780143737793, -0.22481106221675873, -0.17093777656555176, 0.3236686885356903, 0.21145561337471008, -0.9488354921340942, -0.16291484236717224, 0.05025068297982216, 0.6498263478279114, 0.14326059818267822, 0.450492799282074, -0.31773072481155396, -0.9138413071632385, -0.39730358123779297, -0.39007502794265747, -0.9629621505737305, 0.8379654884338379, -0.7679221630096436, -0.8128925561904907, -0.9989370107650757, -0.24572299420833588, -0.7380650043487549, 0.6519192457199097, 0.8486185669898987, 0.6559812426567078, 0.025992300361394882]"
:family_woman_girl_boy:,"[0.42322948575019836, 0.748482346534729, -0.2032751441001892, -0.8638467192649841, 0.22820518910884857, 0.27367788553237915, -0.26780539751052856, -0.750680685043335, -0.5465881824493408, 0.5447313189506531, 0.278022825717926, 0.23168127238750458, -0.8851699233055115, -0.9069908857345581, 0.17294923961162567, -0.6163800954818726, 0.5515148639678955, 0.45595890283584595, -0.9781020879745483, 0.9502913355827332, 0.6485904455184937, -0.560723066329956, -0.6757879257202148, 0.3825933337211609, -0.3139196038246155, -0.12661878764629364, -0.8779565095901489, -0.37044763565063477, 0.24171984195709229, -0.17728058993816376, 0.43302711844444275, 0.3385459780693054, -0.7187387943267822, 0.7271972894668579, 0.18543575704097748, -0.6954258680343628, 0.41713032126426697, -0.7398557066917419, -0.5759584903717041, -0.11091146618127823, 0.6745846271514893, 0.8042888641357422, -0.48152655363082886, -0.011864914558827877, -0.5375788807868958, 0.27602696418762207, 0.89988112449646, -0.8956432938575745, 0.5650539398193359, 0.11027221381664276]"
:giraffe:,"[0.7116541862487793, -0.5061498284339905, 0.07766862213611603, 0.4046441912651062, -0.3965270519256592, 0.9322007894515991, -0.9461942315101624, -0.5740737318992615, -0.6578059792518616, 0.10771385580301285, -0.8943856954574585, -0.7094706892967224, -0.8013767004013062, 0.2651926875114441, -0.5077530145645142, 0.3086215853691101, -0.2009868025779724, 0.9983144402503967, -0.47619667649269104, -0.6937037706375122, -0.5590801239013672, -0.6065887212753296, 0.5540206432342529, 0.6223235130310059, -0.6073122620582581, -0.02170051634311676, 0.5476463437080383, 0.4828811287879944, -0.43139058351516724, -0.8338786959648132, 0.11514662206172943, 0.1731654852628708, 0.305559366941452, -0.6362752914428711, 0.7464648485183716, -0.9902530312538147, 0.6528719067573547, -0.9442558288574219, -0.46726977825164795, -0.8617861270904541, -0.774708092212677, -0.7355040311813354, 0.7726417779922485, -0.5888392925262451, 0.6181824207305908, -0.8981965780258179, 0.7712548971176147, 0.007308000233024359, 0.5630877017974854, -0.9338800311088562]"
:woman_juggling:,"[-0.43931737542152405, -0.04721572622656822, -0.3911595642566681, 0.17952081561088562, 0.13956424593925476, 0.2755691111087799, 0.23697224259376526, -0.07001474499702454, 0.4208184778690338, 0.5187373161315918, 0.08629688620567322, 0.0008499343530274928, 0.14332251250743866, -0.8935658931732178, -0.8497559428215027, -0.4433104395866394, -0.7720204591751099, -0.3974466323852539, 0.02026703767478466, -0.8926175236701965, 0.23856313526630402, -0.5236119031906128, 0.5804128050804138, -0.6663968563079834, 0.4141278862953186, 0.7235965728759766, 0.652515172958374, 0.3604840040206909, 0.4898987114429474, -0.17073364555835724, -0.6037070155143738, -0.6493785381317139, -0.22906041145324707, -0.6402729153633118, -0.595299482345581, -0.24329063296318054, -0.6344032287597656, 0.953761875629425, -0.4771474599838257, 0.04330878332257271, 0.6697925925254822, 0.5097976326942444, -0.9311121702194214, 0.4362465739250183, 0.009932425804436207, -0.7430163621902466, 0.7190340757369995, 0.49641674757003784, -0.9436604976654053, 0.042843110859394073]"
:ballet_shoes:,"[0.4272499978542328, -0.285230815410614, 0.9812170267105103, -0.5111563205718994, -0.32703015208244324, -0.3274804949760437, 0.18367038667201996, -0.6848370432853699, -0.7101088762283325, 0.5583123564720154, -0.2920127809047699, 0.8573880791664124, 0.5854939222335815, -0.7380051016807556, 0.2920186519622803, -0.5310102701187134, 0.5577392578125, -0.6382449269294739, 0.9025453329086304, -0.7551762461662292, 0.6610063910484314, -0.7036902904510498, -0.5485530495643616, 0.8786801695823669, 0.9093585014343262, -0.5781298875808716, 0.43236416578292847, -0.8584921956062317, 0.34221595525741577, 0.021458324044942856, -0.9749985337257385, -0.005828154273331165, 0.38454288244247437, 0.9832345843315125, 0.4053843021392822, 0.8973572254180908, 0.1064273789525032, 0.897312343120575, 0.7357214689254761, -0.6525185704231262, -0.9270766377449036, 0.06321705877780914, 0.5795058012008667, -0.14429135620594025, 0.17497368156909943, -0.19021105766296387, 0.027569616213440895, -0.7215547561645508, 0.9242985248565674, -0.8846597671508789]"
:person_standing_light_skin_tone:,"[-0.12771441042423248, -0.2996363639831543, 0.7421646118164062, 0.615510880947113, -0.3697715699672699, -0.61948561668396, 0.6528857350349426, -0.5196932554244995, 0.11637166142463684, -0.3934769928455353, -0.16329604387283325, 0.63856041431427, -0.7841231822967529, 0.2832448482513428, -0.4075582027435303, -0.23909683525562286, 0.6186254024505615, 0.2217109054327011, -0.6534028053283691, 0.5725551843643188, 0.09154796600341797, 0.8156672716140747, -0.4874185025691986, -0.17342323064804077, -0.7028648853302002, -0.8711769580841064, 0.7234655022621155, 0.4878348708152771, -0.8940666317939758, -0.3395299017429352, 0.5452547669410706, 0.4671187102794647, 0.8370423316955566, 0.17253215610980988, 0.45740941166877747, -0.800089955329895, -0.18503455817699432, 0.8378915786743164, -0.9841901063919067, 0.7720276117324829, -0.375230073928833, 0.8861227035522461, -0.29306700825691223, -0.7874240875244141, 0.7078298330307007, -0.7936842441558838, -0.5111125707626343, 0.5580461621284485, 0.19356021285057068, -0.10146858543157578]"
:woman_white_hair:,"[-0.029027964919805527, -0.35841798782348633, -0.618180513381958, -0.41085290908813477, 0.1599123477935791, 0.8922561407089233, -0.37289759516716003, 0.20011892914772034, 0.5519863367080688, -0.7555567026138306, 0.8328492045402527, -0.15529856085777283, 0.6798982620239258, -0.08556842803955078, 0.318468302488327, -0.647310197353363, 0.3236309289932251, -0.8264285326004028, 0.5627979636192322, -0.3881660997867584, -0.5880231261253357, 0.3050740957260132, -0.9562693238258362, 0.11607054620981216, 0.56020587682724, 0.3059433400630951, 0.7493690848350525, 0.3165569305419922, -0.07560568302869797, 0.5913915634155273, -0.9842506647109985, 0.77264004945755, 0.4134335517883301, 0.577717125415802, -0.14319060742855072, 0.31984710693359375, -0.11775187402963638, 0.5756465792655945, -0.8673089742660522, -0.9486536383628845, 0.2984570264816284, 0.8305003643035889, 0.9516180157661438, -0.3405340909957886, -0.3895436227321625, 0.26177284121513367, -0.7176576256752014, 0.9296702146530151, 0.616686999797821, -0.13445794582366943]"
:vatican_city:,"[-0.323640912771225, 0.0883697047829628, 0.8481181263923645, -0.04859002307057381, 0.5384353399276733, 0.011894146911799908, -0.8590975403785706, 0.23635834455490112, -0.49304094910621643, 0.7882581949234009, -0.5232329964637756, -0.26887959241867065, 0.8252937197685242, -0.437500536441803, 0.4536522626876831, -0.7815679907798767, -0.09163888543844223, -0.7262085676193237, 0.024080995470285416, 0.39293888211250305, -0.7968339920043945, 0.9534578919410706, 0.7047561407089233, -0.46299439668655396, -0.6972715258598328, 0.23814813792705536, -0.2573201656341553, 0.7066044807434082, -0.6360461711883545, -0.6955881714820862, -0.3255693018436432, 0.025060411542654037, 0.03339281678199768, 0.977952778339386, -0.05903114378452301, 0.6401553750038147, 0.35079336166381836, -0.2907065749168396, -0.3025878071784973, 0.023697402328252792, -0.14487160742282867, 0.7413296699523926, 0.8635896444320679, -0.0026204530149698257, 0.12996233999729156, 0.05911803990602493, -0.053558703511953354, 0.3021763563156128, -0.5109281539916992, 0.4281606674194336]"
:woman_construction_worker:,"[0.4719720780849457, -0.36747172474861145, 0.8010029792785645, 0.8620876669883728, 0.9214580059051514, 0.47699517011642456, -0.5416880249977112, -0.9209080338478088, 0.2944345474243164, 0.3710594177246094, 0.5452656745910645, -0.6762080192565918, 0.15707434713840485, -0.9623119831085205, 0.1294528692960739, 0.11938890069723129, 0.401920348405838, 0.7287733554840088, -0.03879257291555405, 0.7371837496757507, 0.48152852058410645, -0.872684895992279, 0.8868676424026489, 0.7249793410301208, 0.4754473865032196, 0.31500956416130066, 0.9768891930580139, 0.18245674669742584, 0.8479987978935242, 0.43225374817848206, 0.6146758794784546, 0.49286147952079773, 0.8601808547973633, -0.0670657530426979, -0.5720842480659485, -0.020169822499155998, -0.7839034795761108, 0.4342622756958008, -0.8674317598342896, 0.19453579187393188, 0.35008150339126587, 0.3871142566204071, -0.9860028028488159, 0.6467912197113037, -0.20300738513469696, -0.3669932186603546, 0.45377621054649353, -0.44705507159233093, 0.5478202104568481, -0.29258841276168823]"
