Emoji,Embedding
:ferry:,"[0.7661279439926147, 0.24344933032989502, -1.4190025329589844, 0.9353975057601929, 0.456491082906723, -0.9259169697761536, -0.1791916787624359, 0.3222677707672119, -0.20519089698791504, 0.9267294406890869, -1.173246145248413, -0.549208402633667, 1.0471138954162598, 1.3355684280395508, 0.12411002069711685, -0.7329612374305725, 0.00988084077835083, 1.2105839252471924, 0.07027393579483032, -2.188498020172119, 0.939475417137146, 0.6660439372062683, -1.1600865125656128, -0.5310496687889099, -1.5652209520339966, 0.23605012893676758, 1.4822235107421875, 0.9986275434494019, -0.35113975405693054, -0.3236086964607239, 1.0800951719284058, -0.9968624711036682, 1.5206726789474487, 0.632540225982666, 1.432491421699524, -0.05587416887283325, -0.6276885271072388, -0.15636566281318665, -1.1913188695907593, -0.2921341061592102, 0.4146806299686432, -0.7533103823661804, -1.815309762954712, -1.3029067516326904, 0.9291882514953613, -0.1415247619152069, 0.0701616108417511, 0.5501881837844849, -0.4043993055820465, 0.9064950942993164]"
:ice_skate:,"[0.9513838291168213, -1.2326648235321045, -0.522362232208252, 0.40420758724212646, 0.6993880271911621, -1.8357319831848145, -0.22213855385780334, -0.1807594895362854, 0.9528968334197998, -0.22088927030563354, 0.2577718198299408, 0.5732017755508423, 1.5749359130859375, 2.1651840209960938, 0.016386553645133972, -0.37459492683410645, -0.7580718994140625, 1.513482928276062, 1.6318864822387695, -1.1811195611953735, 0.7301844954490662, -1.7642974853515625e-05, -0.7159377336502075, 0.26535066962242126, 0.4805907607078552, 0.7968816161155701, 1.3895378112792969, -0.3034042418003082, 1.0258166790008545, 0.9700691103935242, 0.38948652148246765, -0.8782878518104553, 0.3063727021217346, -0.27604180574417114, 1.632609486579895, 0.3357422947883606, -0.9087800979614258, -0.07911008596420288, 0.21780985593795776, -1.0277206897735596, 0.19456402957439423, -0.33879554271698, -2.1068179607391357, -1.2810513973236084, 0.898248553276062, -0.33602404594421387, -0.2331562638282776, 1.3413476943969727, 0.11985242366790771, 1.6532469987869263]"
:takeout_box:,"[0.5937246084213257, -1.0943320989608765, -1.24177885055542, 0.36715933680534363, -0.4388577342033386, -0.614926815032959, -0.16163745522499084, 0.5046883225440979, 0.3374890089035034, -0.06262621283531189, -1.22763192653656, 0.6406789422035217, 0.36283472180366516, 1.1027017831802368, -0.31128013134002686, 0.006688728928565979, -1.4752888679504395, 0.6136427521705627, 1.5949783325195312, -1.7104567289352417, 1.259116768836975, -0.8561998605728149, -0.42619380354881287, 0.6014430522918701, -0.7396769523620605, 0.0121346116065979, 1.302278757095337, 0.2786632478237152, -0.6541694402694702, 0.6663134694099426, -0.7720457315444946, -0.27281057834625244, 0.9537340402603149, -1.0659897327423096, 1.5349488258361816, 1.4102790355682373, -1.6085469722747803, 0.29455995559692383, -1.5126429796218872, -1.7911133766174316, 0.7260052561759949, 1.2529945373535156, -1.829160451889038, 0.2016512155532837, 0.812943160533905, -1.0225518941879272, 0.463553786277771, -0.12036526203155518, -1.0652726888656616, 1.3431288003921509]"
:ping_pong:,"[-0.16323772072792053, -0.6545580625534058, -0.4723735451698303, 0.25271448493003845, -0.04472179710865021, -0.7783864140510559, 1.015877604484558, 1.2295804023742676, 0.23426085710525513, 0.17819856107234955, -1.2097697257995605, -0.4037109613418579, 0.8138943910598755, 0.40275686979293823, -0.2666679620742798, 0.3560940623283386, -1.5511610507965088, 1.0749757289886475, 1.025557279586792, -1.5294049978256226, 1.629021406173706, 0.5688225626945496, -0.9644408226013184, 0.7580130100250244, -1.0676352977752686, 1.6567131280899048, 2.076160192489624, 0.5230963826179504, 0.432059645652771, -0.7728160619735718, -0.4025542140007019, -0.38434121012687683, 1.607417106628418, 0.6672317981719971, 0.8173216581344604, 1.2061361074447632, -1.0836204290390015, 0.41856396198272705, -0.4660220444202423, -1.8175033330917358, 0.855914294719696, 1.0040936470031738, -1.723575472831726, -0.10223668813705444, 1.0733250379562378, -0.16238060593605042, 0.8136897087097168, 1.1842851638793945, -0.2242547869682312, 0.7458074688911438]"
:wilted_flower:,"[-0.5464942455291748, -1.138174295425415, -0.971552848815918, 0.467501699924469, 0.7994089126586914, -0.005021512508392334, 1.2041115760803223, 0.9671331644058228, -0.30251485109329224, 0.4234911799430847, -0.8513228893280029, -0.560791552066803, 0.3028762638568878, 2.4723386764526367, 0.03177666664123535, 0.411518931388855, -0.35656076669692993, 0.6022524237632751, 1.5473991632461548, -1.1658483743667603, -0.1641443371772766, 0.7744957208633423, -0.7175717949867249, 1.1690593957901, 0.1309792399406433, -0.02293550968170166, 2.1243722438812256, 0.41944512724876404, 0.38098400831222534, -0.43124765157699585, 0.7226104140281677, -0.2514875531196594, 0.42991340160369873, 0.4552760124206543, 0.41619354486465454, 0.8137108087539673, -0.8337411880493164, -0.8497442007064819, -0.03921818733215332, -2.057666540145874, 0.3401871621608734, -1.0983936786651611, -0.4078434109687805, -0.9611890316009521, 1.5769636631011963, 0.2605867087841034, -0.2622041702270508, 0.6005936861038208, -0.8582884669303894, 1.6697114706039429]"
:motorcycle:,"[-0.47819820046424866, -0.41668426990509033, -0.6836256980895996, 0.8065489530563354, 0.9295676350593567, -0.2773677110671997, 0.060681045055389404, 0.6256506443023682, 0.04127272963523865, 1.3703665733337402, -1.3073633909225464, -0.44301509857177734, 0.24431946873664856, 0.5841025114059448, -0.24100090563297272, 0.14490492641925812, -1.2000072002410889, 2.380208730697632, 1.3185027837753296, -2.256831407546997, 1.3315753936767578, -0.201198011636734, -0.9652775526046753, 0.657828152179718, 0.001926124095916748, 1.1591970920562744, 0.7103642225265503, -0.5462632179260254, 0.7101912498474121, 0.6107328534126282, -0.26419055461883545, 0.28684544563293457, 0.9619192481040955, -1.178598165512085, 2.0497429370880127, 1.0948137044906616, -0.15095549821853638, -0.9761162996292114, -0.7582789659500122, -0.5176166892051697, -0.5941042304039001, -0.43121272325515747, -0.6980123519897461, -0.263215571641922, 1.0293457508087158, 0.45612117648124695, 1.4074946641921997, -0.24884790182113647, -0.8109344244003296, 1.4377491474151611]"
:eject_button:,"[0.9052757620811462, 0.3997367024421692, -1.887782096862793, 0.6370445489883423, -0.6870535612106323, -0.807402491569519, 0.1021072268486023, 0.25873881578445435, 0.9450290203094482, 1.2669551372528076, 0.3285340368747711, -0.8218456506729126, 0.03447985649108887, 0.9451967477798462, -0.6152368187904358, -0.72371906042099, -0.6982883810997009, 1.2772855758666992, 0.8087043762207031, -1.3789386749267578, 1.1868876218795776, -0.6878763437271118, -1.0628514289855957, -0.37846091389656067, 0.6427570581436157, 0.43658459186553955, 1.807405948638916, -0.8663733005523682, -0.8199272155761719, -0.31900084018707275, 0.10139106214046478, 0.18084414303302765, 1.3077871799468994, -0.6161134839057922, 1.4227962493896484, 0.2629062235355377, 0.1974298357963562, -0.32402920722961426, -0.027960598468780518, -0.48678362369537354, 0.3093000054359436, -0.20012593269348145, -0.7821770906448364, 0.25550729036331177, -0.5590538382530212, 0.5551338195800781, -0.56735759973526, 0.5499815344810486, 0.5655422806739807, 1.437151312828064]"
:camping:,"[-0.19055750966072083, -1.242030143737793, -1.0588901042938232, 0.9895371198654175, 0.19593286514282227, -0.5854793787002563, -0.10883751511573792, 0.6042487621307373, 0.35899075865745544, 0.8019005060195923, -0.72001051902771, 0.024735987186431885, 1.0054080486297607, 1.6999797821044922, -0.8326634168624878, 0.4991592764854431, 0.15200114250183105, 1.4353383779525757, 1.7837049961090088, -1.1294822692871094, -0.32595378160476685, 1.0822019577026367, 1.0620099306106567, -0.8206820487976074, -1.091284990310669, 0.30791622400283813, 2.1625938415527344, 0.5707944631576538, 1.4428448677062988, -0.7339199781417847, 0.6880356073379517, -0.37865692377090454, 2.0970871448516846, -0.8857620358467102, 1.445266604423523, 1.2265104055404663, -1.5923056602478027, 0.5421627759933472, -0.28421884775161743, 0.08375787734985352, -0.7475127577781677, 0.6412122249603271, -1.7684651613235474, 0.2704240679740906, 1.3535957336425781, -0.7547488212585449, 0.29403039813041687, 1.0631353855133057, 0.5773860216140747, 1.0017808675765991]"
:shinto_shrine:,"[0.6691696643829346, -0.24019503593444824, -0.8816426396369934, 0.31064337491989136, 0.6742714643478394, -2.0246291160583496, 1.2500338554382324, 0.7714878916740417, 0.30825597047805786, -0.010288417339324951, 0.24293097853660583, 0.06059030443429947, 0.44554656744003296, 2.1572816371917725, 0.8673405051231384, -0.26992547512054443, 0.13850194215774536, 2.8474230766296387, -0.07662731409072876, -0.1109311580657959, 1.2797702550888062, -0.5608129501342773, 0.3877675235271454, 0.42955511808395386, -0.926358699798584, 1.05935800075531, 0.9693630933761597, 0.21228981018066406, -0.18428203463554382, 0.635324239730835, -0.03433152288198471, 0.9772161841392517, 1.596747636795044, -0.32338011264801025, 1.551572561264038, 0.8244362473487854, 0.5847844481468201, -1.599231481552124, -0.8099969029426575, 0.027921199798583984, -0.4456963539123535, 0.5588734745979309, -0.6012406945228577, -1.0394216775894165, -0.3129270076751709, -0.05970916152000427, 0.9637106657028198, -0.2207179069519043, -0.6182653903961182, 0.26262587308883667]"
:shark:,"[1.3140867948532104, -0.1771393120288849, -1.7850525379180908, -0.06708787381649017, -0.8255208134651184, -0.7130018472671509, 0.6106907725334167, 0.6794159412384033, 0.6203533411026001, 0.0600915253162384, -0.9221030473709106, -0.19590385258197784, 1.4529914855957031, 2.0559537410736084, -0.0007718801498413086, -0.6209424138069153, -1.321399450302124, 1.5682350397109985, 1.3288488388061523, -1.2396608591079712, -0.014428377151489258, -0.8459198474884033, -0.9198712110519409, -0.6630618572235107, -1.0371088981628418, 0.7949773073196411, 2.0168368816375732, -0.4062606394290924, 0.4591711163520813, 0.9905420541763306, -0.5158724784851074, -1.1864867210388184, 0.8487942814826965, 1.0555839538574219, 0.4374816417694092, -0.1872957944869995, -0.5928866267204285, 0.09243068099021912, 0.059730350971221924, -2.033353567123413, 0.23870310187339783, -0.37975287437438965, -0.31927424669265747, -0.7695673704147339, 1.1185481548309326, -1.1989392042160034, 0.7199856638908386, 0.9155171513557434, -0.35270023345947266, 1.9590458869934082]"
