Emoji,Embedding
:man_vampire_medium-dark_skin_tone:,"[-0.7457149624824524, 0.23832903802394867, 0.12080087512731552, 0.7161939144134521, -0.48853278160095215, -0.9816125631332397, 0.8486273884773254, 0.22314101457595825, 0.886568009853363, -0.4671300947666168, -0.6760551929473877, 0.5863344669342041, -0.030792728066444397, 0.8850216269493103, -0.405733197927475, 0.16189886629581451, -0.383866548538208, -0.3382720649242401, 0.039703696966171265, -0.6132709980010986, 0.055318690836429596, 0.37207329273223877, -0.8313730359077454, 0.4056706726551056, 0.7075648307800293, -0.6691299676895142, -0.21794576942920685, -0.9020832777023315, 0.23652946949005127, -0.06295429915189743, 0.45785823464393616, -0.8436213731765747, -0.73173987865448, 0.9066107273101807, 0.9806151390075684, -0.25741827487945557, 0.17946939170360565, -0.42798054218292236, -0.17523762583732605, 0.3506908416748047, 0.1557234674692154, 0.24300360679626465, -0.41512006521224976, 0.3324097692966461, 0.06773226708173752, -0.3731400966644287, -0.9823734164237976, -0.8360228538513184, -0.3259960412979126, 0.6664185523986816]"
:motorized_wheelchair:,"[-0.5610897541046143, 0.8198561668395996, 0.7934191226959229, 0.5148212909698486, 0.77687668800354, 0.9231282472610474, -0.47637587785720825, -0.9463002681732178, -0.982746958732605, -0.631702184677124, -0.6312251091003418, 0.5808010101318359, -0.01900455914437771, -0.05014308542013168, -0.07935797423124313, -0.36200594902038574, 0.37809839844703674, -0.4749097526073456, -0.7800414562225342, 0.8242130279541016, 0.6782445907592773, 0.5321193933486938, 0.8049696683883667, 0.8154176473617554, 0.3299112319946289, 0.7699130177497864, -0.19988714158535004, -0.8590987920761108, -0.5075787305831909, -0.009229667484760284, 0.11958809942007065, 0.8145185112953186, -0.5994540452957153, -0.8254008889198303, 0.24649614095687866, 0.6821621060371399, 0.7284471988677979, -0.5346971750259399, 0.9404963254928589, 0.8978521823883057, 0.5600252747535706, 0.033976368606090546, 0.7605383992195129, -0.847887396812439, -0.010127292945981026, 0.623365044593811, 0.8082835674285889, 0.06691239774227142, 0.8965356349945068, 0.5414729118347168]"
:manual_wheelchair:,"[0.75837242603302, -0.6092319488525391, -0.7676248550415039, 0.7227621078491211, -0.047848355025053024, -0.6048424243927002, -0.5635746717453003, 0.6585953235626221, 0.07242858409881592, 0.6581790447235107, -0.7572164535522461, 0.7240443229675293, 0.7363585233688354, 0.5924503803253174, 0.14333981275558472, 0.786070704460144, 0.18517731130123138, -0.13345873355865479, -0.5959104299545288, 0.6219011545181274, 0.6667518615722656, -0.07750145345926285, -0.8737659454345703, 0.6979405879974365, -0.07412157952785492, -0.027498599141836166, 0.7859013080596924, -0.0007149620214477181, -0.14598417282104492, 0.708592414855957, 0.3519083857536316, -0.08714907616376877, 0.7988554239273071, -0.6831682920455933, 0.689590573310852, -0.2957262098789215, 0.25598764419555664, 0.2497166395187378, -0.20052029192447662, 0.3146984577178955, -0.011947961524128914, -0.684400200843811, -0.6356047987937927, -0.16153566539287567, 0.09058059006929398, -0.9495999813079834, -0.8048571944236755, 0.7527368068695068, 0.6873742341995239, 0.7149412631988525]"
:man_raising_hand_medium-light_skin_tone:,"[0.002176880370825529, 0.1746615171432495, 0.9213875532150269, 0.24700488150119781, 0.6737198829650879, 0.9041358232498169, -0.039496272802352905, -0.5127029418945312, -0.1167803704738617, 0.24043864011764526, 0.8619703054428101, 0.9766273498535156, -0.712992787361145, 0.5289441347122192, -0.9467134475708008, 0.7567030787467957, 0.39326930046081543, 0.17921413481235504, 0.06098475679755211, -0.3987119495868683, 0.7727201581001282, -0.010087504982948303, 0.581275463104248, 0.47643721103668213, 0.5519695281982422, 0.8349742889404297, 0.48059144616127014, -0.5033891201019287, -0.6342352628707886, -0.5796899795532227, -0.02407514676451683, 0.37393486499786377, 0.20992064476013184, 0.9335235357284546, 0.725597620010376, 0.5896478891372681, 0.12480620294809341, 0.04756058007478714, 0.9267622232437134, 0.10147416591644287, -0.8548871278762817, 0.14320899546146393, 0.695696234703064, 0.812830924987793, -0.3079680800437927, 0.18281684815883636, -0.6931928396224976, -0.41526925563812256, 0.4786494970321655, 0.6913322806358337]"
:deaf_man_medium-dark_skin_tone:,"[0.6227576732635498, 0.46205422282218933, 0.0790303498506546, 0.2710888981819153, -0.05285586789250374, -0.34452271461486816, 0.2536211609840393, 0.2090025246143341, -0.7623964548110962, -0.20636434853076935, 0.8158804178237915, -0.2061169296503067, 0.5413324236869812, 0.22754625976085663, -0.6028814911842346, -0.462668776512146, 0.3589727282524109, 0.11146216094493866, -0.3521360158920288, 0.17918257415294647, 0.09900515526533127, 0.08679414540529251, -0.35460686683654785, -0.30394041538238525, -0.26333436369895935, -0.06696353107690811, -0.17287367582321167, 0.27917012572288513, -0.18003058433532715, 0.4626583158969879, 0.09458859264850616, 0.2854924201965332, 0.7586184740066528, -0.8574719429016113, 0.23669284582138062, 0.6270952820777893, -0.31129059195518494, -0.33002549409866333, 0.9755097031593323, -0.5596219301223755, 0.37103161215782166, 0.26856371760368347, -0.9271807074546814, -0.07291033118963242, 0.14060252904891968, -0.5120136737823486, -0.7495051622390747, 0.757880687713623, 0.5646629333496094, -0.5401327610015869]"
:health_worker:,"[-0.4473153352737427, 0.650885820388794, -0.45331013202667236, -0.07670485973358154, 0.01685231365263462, 0.2847561538219452, 0.24370957911014557, -0.6347438097000122, 0.48999249935150146, -0.16637735068798065, 0.21568752825260162, -0.1908951699733734, -0.9500449895858765, -0.774552583694458, 0.09208378940820694, 0.7631418704986572, 0.6192374229431152, 0.07347948849201202, 0.8097000122070312, 0.6765561699867249, -0.6980011463165283, -0.5174649953842163, -0.9047355651855469, 0.4489786624908447, -0.6424263715744019, 0.35241103172302246, -0.17760571837425232, 0.649972677230835, -0.12747684121131897, 0.09128493815660477, -0.26840656995773315, 0.9009687900543213, -0.5967608690261841, -0.7634859085083008, 0.6199842095375061, 0.027524467557668686, 0.662710428237915, -0.7282388210296631, 0.07848174124956131, 0.46914181113243103, 0.9932719469070435, 0.9852390289306641, 0.14655140042304993, 0.6391825675964355, 0.40180259943008423, 0.25550806522369385, 0.0216539166867733, -0.4359363317489624, 0.48372066020965576, -0.5904906988143921]"
:nepal:,"[0.9838249683380127, 0.11839519441127777, -0.35194337368011475, 0.7695189714431763, -0.19655467569828033, 0.8302122354507446, 0.2930689752101898, 0.4111626148223877, 0.8994911909103394, 0.137685626745224, 0.7789041996002197, 0.382928729057312, -0.5022885799407959, -0.446097195148468, -0.1155884712934494, -0.8204354047775269, 0.021326806396245956, 0.8366560935974121, 0.012040507979691029, -0.8790110349655151, -0.27691546082496643, 0.4398270845413208, 0.43860650062561035, 0.9333423376083374, 0.27799081802368164, -0.8116428256034851, -0.30109933018684387, 0.44893747568130493, 0.7876828908920288, -0.7433170080184937, 0.6494629979133606, 0.893640398979187, -0.9301836490631104, 0.13541772961616516, -0.5782787799835205, -0.0031951661221683025, 0.5868513584136963, 0.7930892705917358, -0.6189578771591187, 0.05084265023469925, -0.8697755336761475, 0.6691522598266602, 0.43109697103500366, 0.40562212467193604, -0.09689746797084808, 0.18203045427799225, -0.5838477611541748, 0.9707576036453247, 0.27700287103652954, -0.3184444308280945]"
:man_gesturing_no_dark_skin_tone:,"[-0.9441102743148804, 0.303297221660614, 0.4547678232192993, -0.6071547269821167, -0.2276003360748291, 0.49665194749832153, -0.9217934608459473, -0.31189286708831787, -0.46191731095314026, -0.7513070106506348, 0.07052423059940338, -0.8944449424743652, 0.3652710020542145, -0.5762819051742554, -0.29871276021003723, 0.9757382869720459, -0.9603301286697388, 0.46795469522476196, -0.15509754419326782, 0.1228417381644249, 0.13182243704795837, -0.08879083395004272, 0.3731926381587982, 0.8404029607772827, -0.2973285913467407, 0.18993401527404785, 0.8748081922531128, 0.9186408519744873, -0.6910213232040405, 0.005859742406755686, -0.76482093334198, 0.3205045461654663, -0.756538987159729, 0.8635134696960449, -0.620956301689148, -0.9726611375808716, -0.4102562665939331, -0.7793201208114624, 0.4657834768295288, 0.5020620822906494, 0.7387628555297852, -0.7732241749763489, -0.41140416264533997, 0.43049198389053345, 0.36094003915786743, -0.29520028829574585, -0.6267127990722656, 0.17604461312294006, 0.19413499534130096, -0.6482138633728027]"
:man_gesturing_no_light_skin_tone:,"[-0.8953114748001099, 0.6277115345001221, -0.6315203905105591, -0.7445125579833984, 0.6442052125930786, -0.9942413568496704, -0.8732553124427795, -0.4033440947532654, 0.6980960369110107, -0.21335911750793457, 0.10314100980758667, -0.7512935400009155, 0.7791021466255188, 0.6332411766052246, 0.51378333568573, 0.9709950685501099, -0.5222243070602417, 0.49420011043548584, -0.9348964691162109, 0.7316989898681641, 0.415282666683197, 0.46158668398857117, -0.43767479062080383, -0.11206959187984467, 0.9692831039428711, 0.6114652156829834, -0.46443554759025574, 0.2334713190793991, 0.38925641775131226, -0.07918970286846161, 0.3721255958080292, -0.9519250392913818, -0.1989482194185257, 0.3449569046497345, -0.8631078004837036, -0.11796839535236359, 0.9031363725662231, -0.4914650022983551, 0.9184439182281494, -0.7940068244934082, -0.8424769639968872, -0.1498236209154129, 0.5856491327285767, 0.7380779981613159, -0.3595044016838074, 0.20167861878871918, -0.2402241826057434, -0.2217705249786377, -0.3412993848323822, -0.04717613756656647]"
:card_index_dividers:,"[-0.33086732029914856, -0.3741093873977661, -0.16412635147571564, -0.749057412147522, -0.6238224506378174, -0.7054327130317688, -0.07713400572538376, 0.2950247526168823, 0.2642900347709656, 0.16572800278663635, -0.7045668363571167, 0.23603872954845428, -0.32064980268478394, 0.7547769546508789, 0.06732962280511856, -0.06433969736099243, 0.036882057785987854, 0.38391196727752686, 0.5385384559631348, -0.7642260789871216, 0.38606905937194824, 0.9834916591644287, 0.0705823078751564, 0.2067113071680069, 0.918447732925415, -0.5351845622062683, 0.6964197754859924, 0.8667253255844116, 0.056503452360630035, 0.7776882648468018, 0.03461286053061485, 0.6861317157745361, -0.28851518034935, 0.24822930991649628, -0.14001895487308502, 0.7319262027740479, -0.15968914330005646, -0.6174130439758301, 0.34139060974121094, -0.8939717411994934, 0.30788135528564453, -0.5702652931213379, 0.8480103015899658, 0.684511661529541, 0.7613189816474915, -0.1480281502008438, -0.42194753885269165, -0.8592793941497803, -0.22525309026241302, 0.828768253326416]"
