Emoji,Embedding
:man_vampire_medium-dark_skin_tone:,"[-0.5460414886474609, -0.21101734042167664, -0.6198670864105225, -0.957634449005127, 0.8735523223876953, 0.221785306930542, 0.3203972578048706, 0.06746348738670349, 0.8253562450408936, -0.5341731309890747, -0.4512355327606201, 0.6905488967895508, 0.22956310212612152, -0.6020560264587402, -0.18010711669921875, 0.9987295269966125, 0.47890061140060425, 0.37157130241394043, -0.6797291040420532, 0.834847092628479, -0.12435174733400345, 0.9794837236404419, 0.25518524646759033, -0.22052735090255737, 0.36279988288879395, 0.32290220260620117, 0.13340114057064056, 0.13535629212856293, 0.45604953169822693, 0.01790299080312252, -0.8416824340820312, -0.800459623336792, -0.40256667137145996, 0.13375616073608398, 0.417618066072464, -0.9257673025131226, 0.4843031167984009, -0.7898573875427246, 0.9690621495246887, 0.98689866065979, 0.6858171224594116, -0.04658758267760277, 0.9737217426300049, -0.6373457908630371, -0.8466609716415405, -0.581702709197998, 0.07354895770549774, 0.9889726638793945, -0.39590388536453247, -0.5100847482681274]"
:motorized_wheelchair:,"[0.7792854309082031, -0.05291668698191643, -0.9122920036315918, 0.5192309617996216, -0.23920392990112305, 0.3780730962753296, -0.6359744071960449, -0.21728390455245972, 0.5848188400268555, -0.3165487051010132, -0.9029247760772705, -0.6785382032394409, -0.9990988969802856, 0.8326120376586914, 0.4486696720123291, -0.5861331224441528, 0.8579028844833374, 0.8231031894683838, 0.7685096263885498, -0.6265788078308105, -0.03233755752444267, -0.3746457099914551, 0.6104987859725952, -0.7232614755630493, 0.019114898517727852, -0.17572373151779175, -0.5318456888198853, 0.06190492585301399, 0.27157333493232727, 0.5134483575820923, 0.11761878430843353, 0.4807337522506714, -0.24213343858718872, 0.09391426295042038, 0.632537841796875, -0.5079723596572876, -0.09052333235740662, -0.6214473247528076, -0.1359638124704361, 0.5239330530166626, -0.34727609157562256, -0.041804131120443344, 0.17330315709114075, -0.5519555807113647, -0.996113657951355, 0.38046562671661377, 0.9565014839172363, -0.9030998945236206, -0.620746374130249, 0.7986489534378052]"
:manual_wheelchair:,"[-0.005377252586185932, 0.0935867428779602, 0.26566386222839355, -0.6804673075675964, 0.36997562646865845, -0.7374445199966431, -0.1549425721168518, 0.0020721096079796553, -0.04518779367208481, 0.5370301008224487, -0.16417306661605835, -0.9958608150482178, 0.1276974081993103, -0.6036183834075928, 0.49937868118286133, -0.594805121421814, 0.30342352390289307, 0.7868739366531372, 0.7135133743286133, 0.36721205711364746, 0.8197983503341675, 0.2193371057510376, -0.6885191202163696, -0.7560970783233643, 0.7749208211898804, -0.8793356418609619, 0.6700365543365479, 0.7205603122711182, -0.13375712931156158, 0.0543673038482666, -0.5199599266052246, 0.03480241447687149, -0.922248125076294, 0.6513961553573608, 0.31894421577453613, -0.1984250545501709, -0.5294651985168457, 0.5743235349655151, -0.5542775392532349, 0.7226953506469727, 0.39841148257255554, 0.7406449317932129, -0.5159128904342651, 0.47800910472869873, -0.8233124017715454, -0.4179419279098511, 0.5719237327575684, 0.12189003825187683, 0.045282091945409775, -0.49687790870666504]"
:man_raising_hand_medium-light_skin_tone:,"[0.3524813652038574, -0.9109435081481934, -0.875231146812439, -0.9392258524894714, 0.9883712530136108, -0.0825069472193718, -0.46940290927886963, -0.3242388963699341, -0.4109610319137573, 0.4941357374191284, -0.5664960145950317, 0.6045727729797363, -0.7193769216537476, 0.0941205620765686, 0.6930204033851624, -0.776482105255127, -0.7404695749282837, 0.6589300632476807, 0.7005764245986938, 0.15284329652786255, 0.4947415888309479, 0.11639533191919327, 0.6218874454498291, 0.851288914680481, 0.7880530953407288, 0.052534960210323334, -0.5630093812942505, 0.251197874546051, -0.3159891366958618, 0.30262482166290283, -0.617599368095398, -0.5642122030258179, 0.9996923208236694, 0.32329583168029785, -0.7491333484649658, -0.1476738601922989, -0.06599404662847519, 0.008877900429069996, -0.2023773193359375, -0.6598254442214966, -0.5554760694503784, 0.614493727684021, -0.8982933759689331, 0.7239749431610107, -0.3351966440677643, -0.07825649529695511, 0.04648289829492569, 0.4838276207447052, 0.3716576099395752, 0.8488990068435669]"
:deaf_man_medium-dark_skin_tone:,"[-0.9778717756271362, 0.8872660398483276, 0.6042970418930054, 0.3486793041229248, 0.25241971015930176, -0.8068342208862305, 0.4835538864135742, 0.0006202095537446439, 0.5435569286346436, 0.3855245113372803, -0.22626785933971405, -0.194302499294281, -0.7345719337463379, 0.14882522821426392, 0.631595253944397, -0.13008880615234375, 0.5200729370117188, 0.647452712059021, -0.1194678246974945, 0.748807430267334, 0.435667484998703, -0.40400269627571106, -0.8177101612091064, -0.26697778701782227, 0.9027993679046631, -0.3860201835632324, 0.8526647090911865, -0.6334860324859619, -0.7832304239273071, 0.15683037042617798, -0.09962446987628937, 0.5338770151138306, -0.9402508735656738, 0.358830064535141, 0.8227752447128296, 0.2574303150177002, -0.06272813677787781, 0.9481260776519775, 0.9592304229736328, 0.17970743775367737, 0.1823660433292389, -0.47356775403022766, -0.7235211133956909, 0.7476115226745605, 0.32643362879753113, -0.44863784313201904, -0.30740201473236084, -0.36619532108306885, 0.1384153962135315, -0.36483538150787354]"
:health_worker:,"[0.15175718069076538, 0.7942163944244385, 0.2675802707672119, 0.9546147584915161, -0.8172147274017334, -0.10848602652549744, -0.3568512201309204, -0.49442851543426514, -0.17984050512313843, 0.5297056436538696, -0.48827648162841797, 0.6580098867416382, -0.08864463120698929, -0.7710468769073486, -0.6600545644760132, -0.20345991849899292, 0.2450850009918213, -0.8609744310379028, -0.1816180944442749, 0.9153118133544922, -0.8211709260940552, -0.7629184722900391, -0.16276401281356812, -0.7726179361343384, 0.5870665311813354, -0.3152397871017456, -0.12549620866775513, 0.4702024757862091, 0.6141018867492676, -0.7096962928771973, -0.390064001083374, -0.9060850143432617, -0.4687587022781372, 0.40930625796318054, 0.1329256296157837, 0.43182969093322754, 0.6223568916320801, -0.9618149995803833, 0.6566904783248901, -0.433901309967041, 0.5900033712387085, 0.6678100824356079, 0.42949211597442627, -0.5260839462280273, 0.8117470741271973, -0.3933905363082886, -0.7107586860656738, 0.027451174333691597, -0.6973965167999268, -0.3123816251754761]"
:nepal:,"[0.7637630701065063, -0.543565034866333, 0.33431708812713623, -0.757896900177002, -0.3577636480331421, -0.5076347589492798, -0.09725376963615417, -0.26898014545440674, -0.05890297889709473, -0.25356316566467285, -0.7281894683837891, 0.13660621643066406, -0.16621720790863037, -0.17915034294128418, -0.3716036081314087, 0.8769729137420654, -0.5268158912658691, 0.4343923330307007, -0.05851432681083679, 0.8619661331176758, -0.6564936637878418, 0.25193262100219727, 0.2722550630569458, -0.5064058303833008, -0.7886605262756348, 0.2419809103012085, -0.8529759645462036, 0.49196958541870117, 0.94123375415802, -0.318310022354126, 0.6019189357757568, 0.06457054615020752, -0.7607760429382324, -0.7309216260910034, 0.09216094017028809, 0.5364793539047241, -0.5486167669296265, 0.9423211812973022, 0.7261831760406494, -0.44968175888061523, -0.7086738348007202, 0.6992189884185791, -0.08488118648529053, 0.4804999828338623, -0.34310996532440186, 0.2142152190208435, -0.8087575435638428, 0.9930490255355835, -0.293601393699646, -0.4631713628768921]"
:man_gesturing_no_dark_skin_tone:,"[-0.12577688694000244, -0.9260752201080322, -0.6767842769622803, -0.49416327476501465, -0.17467154562473297, 0.5972210168838501, 0.8247864246368408, 0.665034294128418, 0.15904319286346436, 0.6287593841552734, -0.5588140487670898, -0.48859167098999023, -0.5993927717208862, 0.23898041248321533, -0.1454228311777115, -0.06713403761386871, -0.6708160042762756, -0.8388799428939819, -0.30323243141174316, -0.1076761782169342, 0.3095130920410156, 0.5148394703865051, 0.8672196865081787, -0.8103718757629395, 0.5868034362792969, 0.5532858371734619, 0.21322372555732727, 0.3578247129917145, 0.36369967460632324, -0.036465343087911606, -0.32332319021224976, 0.5668953657150269, -0.9598363637924194, 0.8693514466285706, 0.5841434597969055, 0.2190883308649063, -0.4405630826950073, -0.9788751602172852, -0.6938321590423584, 0.05833965539932251, 0.6395189166069031, 0.020031889900565147, -0.480180025100708, -0.8635756969451904, -0.5229151844978333, 0.040062710642814636, -0.38133275508880615, -0.04571999981999397, -0.9765608310699463, 0.5165550708770752]"
:man_gesturing_no_light_skin_tone:,"[0.6261368989944458, -0.25581181049346924, -0.3998783826828003, -0.830321192741394, 0.00818421971052885, 0.40883731842041016, -0.10845506191253662, 0.03807542845606804, 0.816826581954956, 0.2514289617538452, 0.8333555459976196, -0.0973404049873352, -0.2955721616744995, -0.10500675439834595, -0.7789671421051025, 0.2806555926799774, 0.8245120048522949, 0.33379805088043213, -0.15013772249221802, 0.3494751453399658, 0.6052833795547485, -0.4085237979888916, 0.2721604108810425, 0.6586710214614868, 0.174751877784729, 0.6466608047485352, 0.14041835069656372, 0.40641629695892334, 0.11434303224086761, -0.22015380859375, -0.988838791847229, 0.9839963912963867, 0.5273776054382324, -0.9237877130508423, -0.7142741680145264, -0.6848516464233398, -0.8746956586837769, -0.5811247825622559, -0.19716189801692963, -0.08925626426935196, 0.022355658933520317, 0.32547008991241455, 0.33753490447998047, 0.35416650772094727, -0.7667087316513062, -0.6444474458694458, -0.21230633556842804, 0.5148333311080933, 0.6432322263717651, -0.484063982963562]"
:card_index_dividers:,"[-0.17389583587646484, -0.4647345542907715, -0.9471060037612915, 0.796030580997467, -0.3584928512573242, 0.500989556312561, 0.9980868697166443, 0.22862863540649414, -0.5890299081802368, -0.2481098473072052, -0.13177978992462158, -0.5851138830184937, 0.7793168425559998, 0.16846118867397308, 0.48150068521499634, 0.3321263790130615, -0.05730196461081505, -0.4459347724914551, -0.7290777564048767, -0.2711848020553589, -0.45190000534057617, 0.49450814723968506, 0.35762691497802734, 0.6083139181137085, -0.30465614795684814, -0.228709876537323, -0.7483298778533936, -0.5695471167564392, -0.3226066827774048, -0.7492018938064575, -0.2837877571582794, 0.25331997871398926, -0.16567929089069366, -0.16810360550880432, 0.27948594093322754, -0.5754719972610474, 0.8801523447036743, -0.4348870515823364, -0.6870591640472412, 0.8964160680770874, -0.8586487770080566, 0.7337154150009155, -0.9764409065246582, -0.3024941682815552, 0.5161454677581787, -0.014987287111580372, -0.4914379119873047, 0.4536401033401489, 0.8142726421356201, 0.14973050355911255]"
